ID,Country,Total Case,New Case,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Case,Serious,Tot Case,Deaths 1M,Totals Tests,Tests 1M,Population
138,New Caledonia,"79,881",,314,,"79,558",,,9,"274,585","1,079","98,964","340,182","290,915"
139,French Polynesia,"77,957",,649,,N/A,N/A,N/A,7,"274,338","2,284",,,"284,164"
140,Eswatini,"74,267",,"1,425",,"72,795",,,,"62,682","1,203","1,048,704","885,119","1,184,817"
141,Guyana,"73,075",,"1,298",,"71,756",,,,"92,029","1,635","722,237","909,567","794,045"
142,Belize,"70,757",,688,,"70,056",,,6,"171,661","1,669","576,016","1,397,453","412,190"
143,Fiji,"68,897",,883,,"66,860",,,,"75,755",971,"668,967","735,560","909,466"
144,Madagascar,"67,889",,"1,423",,"66,445",,,,"2,327",49,"526,651","18,050","29,178,077"
145,Sudan,"63,809",,"5,013",,"58,496",+28,+28,,"1,387",109,"562,941","12,240","45,992,020"
146,Mauritania,"63,668",,997,,"62,441",,,,"12,988",203,"1,009,957","206,030","4,901,981"
147,Cabo Verde,"63,244",,413,,"62,773",,,23,"111,408",728,"401,622","707,482","567,678"
148,Bhutan,"62,620",,21,,"61,564",,,,"79,473",27,"2,303,734","2,923,739","787,941"
149,Syria,"57,467",,"3,164",,"54,303",,,,"2,968",163,"146,269","7,553","19,364,809"
150,Burundi,"53,631",,38,,"53,569",,,,"4,248",3,"345,742","27,386","12,624,840"
151,Seychelles,"50,665",,172,,"50,440",,,,"509,575","1,730",,,"99,426"
152,Gabon,"48,981",,306,,"48,674",,,,"21,008",131,"1,621,909","695,641","2,331,533"
153,Andorra,"47,875",,165,,"47,563",,,14,"618,037","2,130","249,838","3,225,256","77,463"
154,Papua New Guinea,"46,809",,670,,"43,982",,,7,"5,037",72,"249,149","26,813","9,292,169"
155,Curaçao,"45,986",,295,,"44,720",,,3,"277,812","1,782","496,693","3,000,640","165,529"
156,Aruba,"44,044",,236,,"42,438",,,2,"409,297","2,193","177,885","1,653,068","107,609"
